Year,Series,Wins,Losses,Winner,Loser
2024,2024 World Series,4,1,"Los Angeles Dodgers (98-64, NL)","New York Yankees (94-68, AL)"
2024,2024 ALCS,4,1,"New York Yankees (94-68, AL)","Cleveland Guardians (92-69, AL)"
2024,2024 NLCS,4,2,"Los Angeles Dodgers (98-64, NL)","New York Mets* (89-73, NL)"
2024,2024 ALDS1,3,2,"Cleveland Guardians (92-69, AL)","Detroit Tigers* (86-76, AL)"
2024,2024 ALDS2,3,1,"New York Yankees (94-68, AL)","Kansas City Royals* (86-76, AL)"
2024,2024 NLDS1,3,1,"New York Mets* (89-73, NL)","Philadelphia Phillies (95-67, NL)"
2024,2024 NLDS2,3,2,"Los Angeles Dodgers (98-64, NL)","San Diego Padres* (93-69, NL)"
2024,2024 ALWC1,2,0,"Detroit Tigers* (86-76, AL)","Houston Astros (88-73, AL)"
2024,2024 NLWC1,2,1,"New York Mets* (89-73, NL)","Milwaukee Brewers (93-69, NL)"
2024,2024 ALWC2,2,0,"Kansas City Royals* (86-76, AL)","Baltimore Orioles* (91-71, AL)"
2024,2024 NLWC2,2,0,"San Diego Padres* (93-69, NL)","Atlanta Braves* (89-73, NL)"
2023,2023 World Series,4,1,"Texas Rangers* (90-72, AL)","Arizona Diamondbacks* (84-78, NL)"
2023,2023 ALCS,4,3,"Texas Rangers* (90-72, AL)","Houston Astros (90-72, AL)"
2023,2023 NLCS,4,3,"Arizona Diamondbacks* (84-78, NL)","Philadelphia Phillies* (90-72, NL)"
2023,2023 ALDS1,3,0,"Texas Rangers* (90-72, AL)","Baltimore Orioles (101-61, AL)"
2023,2023 ALDS2,3,1,"Houston Astros (90-72, AL)","Minnesota Twins (87-75, AL)"
2023,2023 NLDS1,3,1,"Philadelphia Phillies* (90-72, NL)","Atlanta Braves (104-58, NL)"
2023,2023 NLDS2,3,0,"Arizona Diamondbacks* (84-78, NL)","Los Angeles Dodgers (100-62, NL)"
2023,2023 ALWC1,2,0,"Texas Rangers* (90-72, AL)","Tampa Bay Rays* (99-63, AL)"
2023,2023 NLWC1,2,0,"Arizona Diamondbacks* (84-78, NL)","Milwaukee Brewers (92-70, NL)"
2023,2023 ALWC2,2,0,"Minnesota Twins (87-75, AL)","Toronto Blue Jays* (89-73, AL)"
2023,2023 NLWC2,2,0,"Philadelphia Phillies* (90-72, NL)","Miami Marlins* (84-78, NL)"
