Team,Record,Avg Age,Total Payroll,Active,Injured,Retained,Buried,Year
NYY,94-68,29.1,314741274.0,260398591.0,25630756.0,12213158.0,3565533.0,2024
PHI,95-67,29.0,247291271.0,226203004.0,3031516.0,9697997.0,1699868.0,2024
LAD,98-64,30.4,265870208.0,198627830.0,37949016.0,8698968.0,1846901.0,2024
NYM,89-73,30.4,317483315.0,189012437.0,37578740.0,7505378.0,3931503.0,2024
CHC,83-79,27.9,232067975.0,177805468.0,10207418.0,8538860.0,7604537.0,2024
HOU,88-73,29.2,248559896.0,168142387.0,45109866.0,20629924.0,13642326.0,2024
ATL,89-73,30.9,238433901.0,156338167.0,47028814.0,5591460.0,8417765.0,2024
TEX,78-84,29.5,227545408.0,145959070.0,70265121.0,4215583.0,798138.0,2024
SD,93-69,30.0,172855090.0,142394254.0,9034386.0,2859720.0,2437482.0,2024
ARI,89-73,28.9,178306829.0,134502970.0,9600600.0,25703933.0,3001465.0,2024
TOR,74-88,27.9,219088534.0,132416408.0,26456777.0,8374034.0,5599986.0,2024
STL,83-79,28.0,179432759.0,112213666.0,44602200.0,6515912.0,1092838.0,2024
SF,80-82,27.6,202384048.0,102704227.0,53530513.0,7802910.0,1791662.0,2024
MIN,82-80,28.5,129330051.0,102020614.0,22053202.0,300000.0,2435402.0,2024
SEA,85-77,28.5,148953846.0,93942034.0,29288727.0,15191433.0,2004494.0,2024
KC,86-76,29.4,125470914.0,85010948.0,14486000.0,11334701.0,2386442.0,2024
COL,61-101,26.8,146100965.0,79534485.0,51060000.0,126559.0,2373897.0,2024
BOS,81-81,27.5,188537445.0,77327289.0,76400974.0,1680541.0,3063876.0,2024
CHW,41-121,26.1,140497547.0,74306691.0,8284460.0,23408844.0,3012600.0,2024
MIL,93-69,27.9,123393744.0,71398748.0,36603673.0,9530154.0,2239544.0,2024
BAL,91-71,28.4,110835494.0,65994548.0,10808540.0,14162372.0,1882324.0,2024
WSH,71-91,26.9,106445407.0,60351144.0,26347303.0,5946534.0,2847990.0,2024
CIN,77-85,28.2,102254855.0,55850116.0,23271250.0,11070075.0,1573344.0,2024
PIT,76-86,27.7,84050989.0,51220210.0,14524211.0,4305789.0,2965217.0,2024
CLE,92-69,26.3,105224582.0,50885032.0,21120833.0,2158060.0,10272880.0,2024
LAA,63-99,27.4,174189987.0,40083433.0,108620160.0,10240058.0,5873804.0,2024
