year,team,team_salary,wins,playoff_wins,champion,spend_tier,sport
2024,New York Yankees,314741274.0,94.0,8.0,False,High,MLB
2024,Philadelphia Phillies,247291271.0,95.0,1.0,False,High,MLB
2024,Los Angeles Dodgers,265870208.0,98.0,11.0,True,High,MLB
2024,New York Mets,317483315.0,89.0,7.0,False,High,MLB
2024,Chicago Cubs,232067975.0,83.0,0.0,False,High,MLB
2024,Houston Astros,248559896.0,88.0,0.0,False,High,MLB
2024,Atlanta Braves,238433901.0,89.0,0.0,False,High,MLB
2024,Texas Rangers,227545408.0,78.0,0.0,False,High,MLB
2024,San Diego Padres,172855090.0,93.0,4.0,False,Medium,MLB
2024,Arizona Diamondbacks,178306829.0,89.0,0.0,False,Medium,MLB
2024,Toronto Blue Jays,219088534.0,74.0,0.0,False,Medium,MLB
2024,St. Louis Cardinals,179432759.0,83.0,0.0,False,Medium,MLB
2024,San Francisco Giants,202384048.0,80.0,0.0,False,Medium,MLB
2024,Minnesota Twins,129330051.0,82.0,0.0,False,Medium,MLB
2024,Seattle Mariners,148953846.0,85.0,0.0,False,Medium,MLB
2024,Kansas City Royals,125470914.0,86.0,3.0,False,Medium,MLB
2024,Colorado Rockies,146100965.0,61.0,0.0,False,Medium,MLB
2024,Boston Red Sox,188537445.0,81.0,0.0,False,Medium,MLB
2024,Chicago White Sox,140497547.0,41.0,0.0,False,Medium,MLB
2024,Milwaukee Brewers,123393744.0,93.0,1.0,False,Medium,MLB
2024,Baltimore Orioles,110835494.0,91.0,0.0,False,Medium,MLB
2024,Washington Nationals,106445407.0,71.0,0.0,False,Low,MLB
2024,Cincinnati Reds,102254855.0,77.0,0.0,False,Low,MLB
2024,Pittsburgh Pirates,84050989.0,76.0,0.0,False,Low,MLB
2024,Cleveland Guardians,105224582.0,92.0,4.0,False,Low,MLB
2024,Los Angeles Angels,174189987.0,63.0,0.0,False,Medium,MLB
2024,Tampa Bay Rays,89707422.0,80.0,0.0,False,Low,MLB
2024,Detroit Tigers,96971614.0,86.0,4.0,False,Low,MLB
2024,Oakland Athletics,62132581.0,69.0,0.0,False,Low,MLB
2024,Miami Marlins,96590305.0,62.0,0.0,False,Low,MLB
2023,Philadelphia Phillies,245410961.0,95.0,8.0,False,High,MLB
2023,Houston Astros,237107748.0,88.0,6.0,False,High,MLB
2023,Toronto Blue Jays,214916600.0,74.0,0.0,False,Medium,MLB
2023,New York Yankees,278651150.0,94.0,0.0,False,High,MLB
2023,San Diego Padres,253450531.0,93.0,0.0,False,High,MLB
2023,Atlanta Braves,204689131.0,89.0,1.0,False,Medium,MLB
2023,Texas Rangers,251332754.0,78.0,13.0,True,High,MLB
2023,Los Angeles Dodgers,235743243.0,98.0,0.0,False,High,MLB
2023,Chicago Cubs,189409358.0,83.0,0.0,False,Medium,MLB
2023,San Francisco Giants,189398165.0,80.0,0.0,False,Medium,MLB
2023,Boston Red Sox,180926796.0,81.0,0.0,False,Medium,MLB
2023,New York Mets,344346522.0,89.0,0.0,False,High,MLB
2023,Milwaukee Brewers,119399140.0,93.0,0.0,False,Medium,MLB
2023,Chicago White Sox,162863836.0,41.0,0.0,False,Medium,MLB
2023,St. Louis Cardinals,153793028.0,83.0,0.0,False,Medium,MLB
2023,Detroit Tigers,119344514.0,86.0,0.0,False,Medium,MLB
2023,Minnesota Twins,155999708.0,82.0,3.0,False,Medium,MLB
2023,Colorado Rockies,171026607.0,61.0,0.0,False,Medium,MLB
2023,Seattle Mariners,125040117.0,85.0,0.0,False,Medium,MLB
2023,Miami Marlins,105435809.0,62.0,0.0,False,Medium,MLB
2023,Arizona Diamondbacks,116777354.0,89.0,10.0,False,Medium,MLB
2023,Cleveland Guardians,88911627.0,92.0,0.0,False,Low,MLB
2023,Kansas City Royals,95596347.0,86.0,0.0,False,Low,MLB
2023,Baltimore Orioles,68706439.0,91.0,0.0,False,Low,MLB
2023,Tampa Bay Rays,74948362.0,80.0,0.0,False,Low,MLB
2023,Washington Nationals,93378663.0,71.0,0.0,False,Low,MLB
2023,Cincinnati Reds,94853417.0,77.0,0.0,False,Low,MLB
2023,Los Angeles Angels,235384276.0,63.0,0.0,False,High,MLB
2023,Oakland Athletics,62243227.0,69.0,0.0,False,Low,MLB
